HERMES PARCIANELLO;5310423;23448;PR=PMDB;73772;HERMES PARCIANELLO
HEULER CRUVINEL;5310638;23423;GO=PSD;160596;HEULER CRUVINEL
HILDO ROCHA;5310656;2374;MA=PMDB;178884;HILDO ROCHA
HIRAN GONÇALVES;5310646;234;RR=PP;178959;HIRAN GONÇALVES
HISSA ABRAHÃO;5310728;2342;AM=PDT;178849;HISSA ABRAHÃO
HUGO LEAL;5310320;23306;RJ=PSB;141450;HUGO LEAL
HUGO MOTTA;5310343;23132;PB=PMDB;160674;HUGO MOTTA
INDIO DA COSTA;5310731;23315;RJ=PSD;141389;INDIO DA COSTA
IRACEMA PORTELLA;5310389;23113;PI=PP;67138;IRACEMA PORTELLA
IRAJÁ ABREU;5310444;2365;TO=PSD;81232;IRAJÁ ABREU
IRMÃO LAZARO;5310324;23199;BA=PSC;178855;IRMÃO LAZARO
IVAN VALENTE;5310668;23359;SP=PSOL;73531;IVAN VALENTE
IZALCI;5310526;23408;DF=PSDB;4931;IZALCI
JAIME MARTINS;5310468;23240;MG=PSD;74665;JAIME MARTINS
JAIR BOLSONARO;5310721;23302;RJ=PSC;74847;JAIR BOLSONARO
JANDIRA FEGHALI;5310367;23305;RJ=PCdoB;74848;JANDIRA FEGHALI
JANETE CAPIBERIBE;5310358;2310;AP=PSB;73926;JANETE CAPIBERIBE
JARBAS VASCONCELOS;5310323;23147;PE=PMDB;131943;JARBAS VASCONCELOS
JEAN WYLLYS;5310725;23307;RJ=PSOL;160672;JEAN WYLLYS
JEFFERSON CAMPOS;5310439;23349;SP=PSD;74273;JEFFERSON CAMPOS
JERÔNIMO GOERGEN;5310478;23505;RS=PP;160570;JERÔNIMO GOERGEN
JÉSSICA SALES;5310403;2356;AC=PMDB;178839;JÉSSICA SALES
JHC;5310555;23167;AL=PSB;178842;JHC
JHONATAN DE JESUS;5310341;235;RR=PRB;160531;JHONATAN DE JESUS
JÔ MORAES;5310724;23246;MG=PCdoB;141503;JÔ MORAES
JOÃO ARRUDA;5310612;23455;PR=PMDB;160573;JOÃO ARRUDA
JOÃO CAMPOS;5310462;23418;GO=PRB;74366;JOÃO CAMPOS
JOÃO CARLOS BACELAR;5310780;23187;BA=PR;141458;JOÃO CARLOS BACELAR
JOÃO CASTELO;5310718;2375;MA=PSDB;74445;JOÃO CASTELO
JOÃO DANIEL;5310751;23179;SE=PT;178970;JOÃO DANIEL
JOÃO DERLY;5310412;23514;RS=REDE;178965;JOÃO DERLY
JOÃO FERNANDO COUTINHO;5310583;23149;PE=PSB;178917;JOÃO FERNANDO COUTINHO
JOÃO GUALBERTO;5310693;23200;BA=PSDB;178856;JOÃO GUALBERTO
JOÃO MARCELO SOUZA;5310331;2376;MA=PMDB;112437;JOÃO MARCELO SOUZA
JOÃO PAULO KLEINÜBING;5310661;23485;SC=PSD;178967;JOÃO PAULO KLEINÜBING
JOÃO PAULO PAPA;5310586;23364;SP=PSDB;178988;JOÃO PAULO PAPA
JOÃO RODRIGUES;5310304;23473;SC=PSD;160571;JOÃO RODRIGUES
JOAQUIM PASSARINHO;5310502;2333;PA=PSD;178910;JOAQUIM PASSARINHO
JONY MARCOS;5310396;23181;SE=PRB;178971;JONY MARCOS
JORGE BOEIRA;5310500;23474;SC=PP;74388;JORGE BOEIRA
JORGE CÔRTE REAL;5310621;23150;PE=PTB;160572;JORGE CÔRTE REAL
JORGE SOLLA;5310414;23204;BA=PT;178857;JORGE SOLLA
JORGE TADEU MUDALEN;5310590;23363;SP=DEM;73535;JORGE TADEU MUDALEN
JORGINHO MELLO;5310670;23476;SC=PR;160509;JORGINHO MELLO
JOSÉ AIRTON CIRILO;5310501;23101;CE=PT;141464;JOSÉ AIRTON CIRILO
JOSÉ CARLOS ALELUIA;5310579;23207;BA=DEM;74553;JOSÉ CARLOS ALELUIA
JOSÉ CARLOS ARAÚJO;5310760;23197;BA=PR;74140;JOSÉ CARLOS ARAÚJO
JOSÉ FOGAÇA;5310830;23539;RS=PMDB;131966;JOSÉ FOGAÇA
JOSÉ GUIMARÃES;5310597;23103;CE=PT;141470;JOSÉ GUIMARÃES
JOSÉ MENTOR;5310475;23367;SP=PT;74275;JOSÉ MENTOR
JOSÉ NUNES;5310570;23201;BA=PSD;160619;JOSÉ NUNES
JOSÉ OTÁVIO GERMANO;5310798;23501;RS=PP;74395;JOSÉ OTÁVIO GERMANO
JOSÉ PRIANTE;5310495;2326;PA=PMDB;74079;JOSÉ PRIANTE
JOSÉ REINALDO;5310354;2377;MA=PSB;73714;JOSÉ REINALDO
JOSÉ ROCHA;5310789;23203;BA=PR;74554;JOSÉ ROCHA
JOSE STÉDILE;5310377;23506;RS=PSB;160607;JOSE STÉDILE
JOSI NUNES;5310528;2362;TO=PMDB;114941;JOSI NUNES
JOSUÉ BENGTSON;5310632;2330;PA=PTB;74351;JOSUÉ BENGTSON
JOVAIR ARANTES;5310361;23419;GO=PTB;73666;JOVAIR ARANTES
